rank,drug_name,target,binding_score
598,vilanterol,New Target,1428.76
599,celiprolol,New Target,1429.04
600,isoprenaline,New Target,1432.02
601,lisuride,New Target,1436.42
602,troxipide,New Target,1438.35
603,albuterol,New Target,1442.72
604,itopride,New Target,1444.42
605,pyrantel-pamoate,New Target,1454.4
606,faropenem-medoxomil,New Target,1459.95
607,fadrozole,New Target,1465.53
608,clonixin-lysinate,New Target,1471.38
609,bictegravir,New Target,1476.51
610,oxyphenonium,New Target,1477.67
611,pentamidine,New Target,1478.36
612,mabuterol,New Target,1479.48
613,rivaroxaban,New Target,1479.92
614,methantheline,New Target,1488.02
615,estropipate,New Target,1492.96
616,cefadroxil,New Target,1493.75
617,erdafitinib,New Target,1494.68
618,ingenol,New Target,1499.17
619,anastrozole,New Target,1510.1
620,ziprasidone,New Target,1515.48
621,ajmaline,New Target,1519.2
622,cerulenin,New Target,1519.78
623,clodronic-acid,New Target,1520.21
624,furosemide,New Target,1526.03
625,estropipate,New Target,1528.07
626,warfarin,New Target,1534.51
627,anisotropine methylbromide,New Target,1540.0
628,pralatrexate,New Target,1542.02
629,orphenadrine,New Target,1542.16
630,bunazosin,New Target,1545.05
631,primaquine,New Target,1546.6
632,zeranol,New Target,1552.16
633,nitenpyram,New Target,1561.75
634,procaterol,New Target,1565.24
635,sn-38,New Target,1571.32
636,raltitrexed,New Target,1573.42
637,lonidamine,New Target,1577.54
638,adelmidrol,New Target,1581.7
639,hydrocortisone-acetate,New Target,1586.92
640,beta-elemene,New Target,1589.74
641,minocycline,New Target,1598.4
642,pomalidomide,New Target,1601.76
643,maprotiline,New Target,1609.08
644,dasabuvir,New Target,1609.13
645,amantadine,New Target,1620.46
646,alfuzosin,New Target,1622.57
647,propagermanium,New Target,1628.8
648,anagliptin,New Target,1629.72
649,oxybutynin chloride,New Target,1633.08
650,pefloxacin,New Target,1641.77
651,trimipramine,New Target,1644.08
652,berberine,New Target,1644.55
653,moxaverine,New Target,1647.71
654,octisalate,New Target,1647.97
655,protriptyline,New Target,1660.22
